Time,Time,Readings,Temperature
10:44,T0,8.3,27.4
10:45,T1,5.6,27.4
10:46,T2,5.7,27.4
10:47,T3,5.1,27.4
10:48,T4,5.1,27.4
10:49,T5,4.9,27.4
10:50,T6,4.8,27.4
10:51,T7,4.9,27.4
10:52,T8,4.8,27.4
10:53,T9,4.8,27.4
10:54,T10,4.7,27.4
10:55,T11,4.4,27.4
10:56,T12,4.5,27.4
10:57,T13,4.4,27.4
10:58,T14,4.5,27.4
10:59,T15,4.5,27.5
11:00,T16,4.4,27.5
11:01,T17,4.5,27.5
11:02,T18,4.7,27.5
11:03,T19,4.5,27.5
11:04,T20,4.4,27.6
11:05,T21,4.3,27.6
11:06,T22,4.1,27.6
11:07,T23,3.9,27.6
11:08,T24,4,27.6
11:09,T25,4.3,27.6
11:10,T26,4.2,27.7
11:11,T27,4.3,27.7
11:12,T28,4.3,27.7
11:13,T29,3.8,27.7
11:14,T30,4,27.7
11:15,T31,3.9,27.7
11:16,T32,3.9,27.7
11:17,T33,3.9,27.7
11:18,T34,3.8,27.7
11:19,T35,4.1,27.7
11:20,T36,3.6,27.7
11:21,T37,3.7,27.7
11:22,T38,3.7,27.7
11:23,T39,3.9,27.7
11:24,T40,3.8,27.7
11:25,T41,3.8,27.7
11:26,T42,3.9,27.7
11:27,T43,3.4,27.7
11:28,T44,3.6,27.7
11:29,T45,3.6,27.7
11:30,T46,3.4,27.7
11:31,T47,3.4,27.7
11:32,T48,3.4,27.7
11:33,T49,3.4,27.7
11:34,T50,3.4,27.7
11:35,T51,3.3,27.7
11:36,T52,3.4,27.7
11:37,T53,3.1,27.7
11:38,T54,3.1,27.7
11:39,T55,3.3,27.7
11:40,T56,3.1,27.7
11:41,T57,3.3,27.7
11:42,T58,3.1,27.7
11:43,T59,3.1,27.7
11:44,T60,3.1,27.7
11:45,T61,3.1,27.7
11:46,T62,3,27.6
11:47,T63,2.9,27.6
11:48,T64,3.1,27.6
11:49,T65,2.9,27.6
11:50,T66,3.1,27.6
11:51,T67,3,27.6
11:52,T68,3.1,27.6
11:53,T69,2.9,27.6
11:54,T70,2.9,27.6
11:55,T71,3,27.6
11:56,T72,2.9,27.6
11:57,T73,2.8,27.6
11:58,T74,2.8,27.6
11:59,T75,2.7,27.6
12:00,T76,2.8,27.6
12:01,T77,2.7,27.6
12:02,T78,2.7,27.6
12:03,T79,2.5,27.6
12:04,T80,2.6,27.6
12:05,T81,2.5,27.6
12:06,T82,2.4,27.5
12:07,T83,2.4,27.5
12:08,T84,2.4,27.5
12:09,T85,2.5,27.5
12:10,T86,2.5,27.5
12:11,T87,2.5,27.5
12:12,T88,2.5,27.5
12:13,T89,2.4,27.5
12:14,T90,2.4,27.5
12:15,T91,2.4,27.5
12:16,T92,2.3,27.5
12:17,T93,2.3,27.4
