Time,Time,Readings,Temperature
12:42,T0,8.1,26.7
12:43,T1,6.8,26.7
12:44,T2,5.4,26.7
12:45,T3,5,27.3
12:46,T4,5,27.3
12:47,T5,4.9,27.3
12:48,T6,4.6,27.3
12:49,T7,5.5,27.3
12:50,T8,5.8,27.3
12:51,T9,5.2,27.3
12:52,T10,5.2,27.3
12:53,T11,5.1,27.3
12:54,T12,5.3,27.3
12:55,T13,6.4,27.3
12:56,T14,5.5,27.3
12:57,T15,5.5,27.3
12:58,T16,5.4,27.3
12:59,T17,5.5,27.3
13:00,T18,5.6,27.3
13:01,T19,5.1,27.3
13:02,T20,4.8,27.3
13:03,T21,4.8,27.3
13:04,T22,4.8,27.3
13:05,T23,4.7,27.3
13:06,T24,5,27.3
13:07,T25,4.7,27.4
13:08,T26,4.5,27.4
13:09,T27,4.4,27.4
13:10,T28,4.3,27.4
13:11,T29,4.4,27.4
13:12,T30,4.3,27.4
13:13,T31,4.3,27.4
13:14,T32,4.3,27.4
13:15,T33,4.2,27.4
13:16,T34,4.2,27.4
13:17,T35,4.1,27.4
13:18,T36,4.5,27.4
13:19,T37,4.3,27.4
13:20,T38,4.2,27.4
13:21,T39,4.5,27.2
13:22,T40,5.2,27.2
13:23,T41,4.6,27.2
13:24,T42,4.1,27.2
13:25,T43,4.5,27.2
13:26,T44,4.8,27.2
13:27,T45,4.7,27.2
13:28,T46,4.4,27.2
13:29,T47,4.6,27.2
13:30,T48,4.3,27.2
13:31,T49,4.7,27.2
13:32,T50,4.7,27.2
13:33,T51,4.7,27.2
13:34,T52,4.6,27.2
13:35,T53,4.5,27.2
13:36,T54,4.3,27.2
13:37,T55,4.3,27.2
13:38,T56,4.5,27.2
13:39,T57,4.5,27.3
13:40,T58,4.5,27.4
13:41,T59,4.1,27.4
13:42,T60,4.5,27.4
13:43,T61,4,27.4
13:44,T62,4,27.4
13:45,T63,3.8,27.4
13:46,T64,4,27.4
13:47,T65,3.5,27.4
13:48,T66,3.8,27.4
13:49,T67,3.9,27.4
13:50,T68,3.7,27.4
13:51,T69,3.8,27.4
13:52,T70,3.2,27.4
13:53,T71,3,27.4
13:54,T72,3.2,27.4
13:55,T73,3.2,27.4
13:56,T74,3.1,27.5
13:57,T75,3.1,27.6
13:58,T76,3,27.6
13:59,T77,3,27.6
14:00,T78,3.5,27.6
14:01,T79,3.4,27.6
14:02,T80,3.4,27.6
14:03,T81,3.3,27.6
14:04,T82,3.7,27.6
14:05,T83,3.8,27.6
14:06,T84,3.7,27.6
14:07,T85,3.7,27.6
14:08,T86,3.5,26.4
14:09,T87,3.7,26.6
14:10,T88,3.5,26.4
14:11,T89,3.3,26.6
14:12,T90,3.4,26.5
14:13,T91,3.2,26.5
14:14,T92,3.2,26.5
14:15,T93,3.3,26.5
14:16,T94,3.3,26.5
14:17,T95,3.1,26.5
14:18,T96,3.1,26.6
14:19,T97,3,26.6
14:20,T98,2.9,26.6
14:21,T99,3.1,26.6
14:22,T100,2.9,26.6
14:23,T101,2.8,26.6
14:24,T102,2.5,26.6
14:25,T103,2.5,26.6
14:26,T104,2.7,26.7
14:27,T105,2.8,26.7
14:28,T106,2.8,26.7
14:29,T107,2.7,26.7
14:30,T108,2.7,26.7
14:31,T109,2.7,26.7
14:32,T110,2.7,26.7
14:33,T111,3,26.7
14:34,T112,2.8,26.8
14:35,T113,2.6,26.8
14:36,T114,2.5,26.8
14:37,T115,2.6,26.8
14:38,T116,2.5,26.8
14:39,T117,2.6,26.8
14:40,T118,2.7,26.8
14:41,T119,3,26.8
14:42,T120,3.3,26.8
